Name,Phone,Address,City,State,Zip,County,Age
24/7 Autism,706-331-0145,P.O. Box 2161,Rome,GA,30164,Floyd,Under 3
A to Z Pediatric Therapy,(678) 733-9318,"5825 Glenridge Dr. Building 1, Suite 133",Atlanta,GA,30328,Fulton,Under 3
"ABA Unlimited, LLC",(478) 313-5093,1000 Corporate Pointe Ste. 109,Warner Robins,GA,31088,Houston,Under 3
ABC Pediatric Therapy Services,404-556-5554,2655 Dallas Highway Suite 320,Marietta,GA,30064,Cobb,Under 3
Albany Advocacy Resource Center (ARC),229-888-6852,3005 Old Dawson Road,Albany,GA,31721,Dougherty,Under 3
All Kids First USA,(770) 558-6055,4720 Peachtree Industrial Blvd Suite 301 & 305,Berkeley Lake,GA,30071,Gwinnett,Under 3
"All Kids First, LLC",(404) 394-3382,"1509 Atkinson Road, Suite #2200",Lawrenceville,GA,30043,Gwinnett,Under 3
Amy Jefferson - Behavior Specialist,(770) 424-0207,"2903 Auburn Ct SW Marietta, GA 30064",Marietta,GA,30064,Cobb,Under 3
Anna Shaw Children’s Institute,706-226-8900,1201 Burleyson Road,Dalton,GA,30722-1168,Whitfield,Under 3
Apollo Behavior Services,(404) 941-6201,"5050 Research CT, Suite 125",Suwanee,GA,30024,Forsyth,Under 3
"Applied Behavioral Consulting, LLC",770-609-8777,,,GA,,Gwinnett,Under 3
"Applied Behavioral Consulting, LLC - Athens",(770) 609-8777,"1060 Gaines School Rd. Suite C-2,",Athens,GA,30605,Clarke,Under 3
Ascend Neurology - Atlanta,(404) 256-3535,5505 Peachtree Dunwoody Road Suite 500,Atlanta,GA,30342,Fulton,Under 3
Assistance Dogs for Autism,,145 Foxfield Drive,Harmony,NC,28634,,Under 3
"Assured Relief Home Care, LLC.",(678) 272-7202,"820 Pavilion Ct, Suite D",McDonough,GA,30253,Henry,Under 3
Atlanta Autism Center,(833) 628-8476,6450 Spalding Drive Suite B,Peachtree Corners,GA,30092,Fulton,Under 3
Atlanta Hyperbaric Center,(770) 948-4511,654 Windy Hill Rd. SE,Smyrna,GA,30080,Cobb,Under 3
Augusta Autism and Disability Support Group,,"Wesley United Methodist Church, 825 N Belair Road",Evans,GA,30809,Columbia,Under 3
"Autism and Developmental Center, Navicent Health",478-633-8100,"Autism and Developmental Center, Navicent Health 1014 Forsyth Street Macon, GA 31201",Macon,GA,31201,Bibb,Under 3
Autism Hope Center,706-604-6333,PO Box 6028,Columbus,GA,31917,Muscogee,Under 3
Autism in Bartow,,,Cartersville,GA,,Bartow,Under 3
Autism Learning Partners - Cumming,(818) 241-6780,160 Clairemont Avenue Suite 625,Decatur,GA,30030,DeKalb,Under 3
Autism Learning Partners - Dekalb,(678) 280-7779,160 Clairemont Avenue,Decatur,GA,30030,DeKalb,Under 3
Autism Parent Support Group,(229) 344-1501,Albany ARC Training Center 1319 West Broad Avenue,Albany,GA,31708,Dougherty,Under 3
Autism Research Institute,619-281-7165,4182 Adams Avenue,San Diego,CA,92116,,Under 3
Autism Resource Center,,528 Chaucer Way,Stockbridge,GA,30281,Henry,Under 3
Autism Society Georgia,(770) 852-0266,"8343 Roswell Rd., Suite 339",Atlanta,GA,30350,Fulton,Under 3
Autism Society of America,(800) 328-8476,4340 East-West Highway Suite 350,Bethesda,MD,20814,,Under 3
Autism Society of America Scholarship,301/657-0881,2012 Autism Society Awards 4340 East West HighwaySuite 350,Bethesda,MD,,,Under 3
Autism Speaks,212-252-8584,1 East 33rd Street 4th floor,New York,NY,10016,,Under 3
Autism Speaks - Georgia Regional Office,770-451-0570,900 Circle 75 Parkway Suite 445,Atlanta,GA,3039,Cobb,Under 3
Autistic Self Advocacy Atlanta,(404) 444-0731,Autistic Self Advocacy Network PO Box 66122,Washington,DC,20035,,Under 3
Avita Autism Services,(678) 513-5725,4331 Thurmon Tanner Parkway,Flowery Branch,GA,30542,Hall,Under 3
Avita Community Partners (Forsyth),678-341-3840,125 North Corners Parkway,Cumming,GA,30040,Forsyth,Under 3
Avita Community Partners (Habersham),706-894-3750,196 Stoggins Drive,Demorest,GA,30528,Habersham,Under 3
Avita Community Partners (Stephens),(706) 282-4542,1763 Fernside Drive,Toccoa,GA,30577,Stephens,Under 3
Avita Community Partners - Administrative Office,678-513-5700,4331 Thurmond Tanner Parkway,Flowery Branch,GA,30542,Hall,Under 3
Balance Atlanta Family Chiropractic,(404) 261-4848,60 Pharr Road Lower Level 101,Atlanta,GA,,Fulton,Under 3
"Beckhom Behavioral Consulting, LLC",(229) 439-9951,1509 West 3rd Avenue,Albany,GA,31707,Dougherty,Under 3
Behavior Analysis and Intervention Center,(404) 565-4344,P.O. Box 1602,Powder Springs,GA,30127,Cobb,Under 3
Behavior Frontiers,(888) 922-2843,"100 Bull Street, Suite 200",Savannah,GA,31401,Chatham,Under 3
Behavior Management Consultants,(904) 619-8430,,Valdosta,GA,,Lowndes,Under 3
Behavioral Institute of Atlanta,(404) 256-9325 ext. 725,6000 Lake Forrest Drive Suite 103,Atlanta,GA,30328,Fulton,Under 3
Best Buddies - Emory,,,,GA,,DeKalb,Under 3
