Year,Country of Origin (ISO),origin,Country of Resettlement (ISO),destination,submissions
2011,MMR,Myanmar,FIN,Finland,141
2011,SOM,Somalia,DNK,Denmark,26
2011,ERI,Eritrea,FRA,France,3
2011,SDN,Sudan,DNK,Denmark,11
2011,SDN,Sudan,PRT,Portugal,3
2011,AFG,Afghanistan,NLD,Netherlands,10
2011,COD,Dem. Rep. of the Congo,CAN,Canada,81
2011,SYR,Syrian Arab Rep.,CAN,Canada,13
2011,BTN,Bhutan,NOR,Norway,181
2011,SOM,Somalia,NLD,Netherlands,13
2011,AFG,Afghanistan,FIN,Finland,344
2011,SOM,Somalia,CAN,Canada,423
2011,MMR,Myanmar,DNK,Denmark,178
2011,MMR,Myanmar,NZL,New Zealand,351
2011,MMR,Myanmar,JPN,Japan,31
2011,SOM,Somalia,NOR,Norway,305
2011,IRN,Iran (Islamic Rep. of),CAN,Canada,560
2011,ERI,Eritrea,DNK,Denmark,51
2011,SDN,Sudan,CAN,Canada,15
2011,IRN,Iran (Islamic Rep. of),NOR,Norway,255
2011,AFG,Afghanistan,AUS,Australia,790
2011,ERI,Eritrea,USA,United States of America,1549
2011,COD,Dem. Rep. of the Congo,NLD,Netherlands,28
2011,BTN,Bhutan,NZL,New Zealand,88
2011,SDN,Sudan,NZL,New Zealand,6
2011,IRQ,Iraq,FIN,Finland,10
2011,SOM,Somalia,SWE,Sweden,687
2011,SOM,Somalia,FIN,Finland,7
2011,MMR,Myanmar,SWE,Sweden,50
2011,COD,Dem. Rep. of the Congo,BEL,Belgium,3
2011,COD,Dem. Rep. of the Congo,GBR,United Kingdom of Great Britain and Northern Ireland,34
2011,COD,Dem. Rep. of the Congo,USA,United States of America,2918
2011,IRQ,Iraq,NZL,New Zealand,214
2011,IRN,Iran (Islamic Rep. of),USA,United States of America,1301
2011,IRN,Iran (Islamic Rep. of),DEU,Germany,17
2011,MMR,Myanmar,AUS,Australia,1623
2011,ERI,Eritrea,AUS,Australia,224
2011,ERI,Eritrea,NLD,Netherlands,38
2011,AFG,Afghanistan,GBR,United Kingdom of Great Britain and Northern Ireland,9
2011,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,2
2011,IRN,Iran (Islamic Rep. of),FRA,France,22
2011,SDN,Sudan,USA,United States of America,2171
2011,COD,Dem. Rep. of the Congo,DNK,Denmark,170
2011,ERI,Eritrea,PRT,Portugal,25
2011,COD,Dem. Rep. of the Congo,AUS,Australia,542
2011,COD,Dem. Rep. of the Congo,SWE,Sweden,69
2011,IRQ,Iraq,GBR,United Kingdom of Great Britain and Northern Ireland,42
2011,BTN,Bhutan,CAN,Canada,1105
2011,AFG,Afghanistan,USA,United States of America,827
2011,IRN,Iran (Islamic Rep. of),BEL,Belgium,3
2011,MMR,Myanmar,NLD,Netherlands,143
2011,ERI,Eritrea,SWE,Sweden,392
2011,SOM,Somalia,GBR,United Kingdom of Great Britain and Northern Ireland,359
2011,COD,Dem. Rep. of the Congo,FIN,Finland,160
2011,IRQ,Iraq,FRA,France,9
2011,IRN,Iran (Islamic Rep. of),DNK,Denmark,3
2011,IRN,Iran (Islamic Rep. of),GBR,United Kingdom of Great Britain and Northern Ireland,6
2011,SDN,Sudan,SWE,Sweden,54
2011,BTN,Bhutan,USA,United States of America,10403
2011,ERI,Eritrea,BEL,Belgium,14
2011,AFG,Afghanistan,NZL,New Zealand,7
2011,COD,Dem. Rep. of the Congo,FRA,France,15
2011,IRQ,Iraq,IRL,Ireland,6
2011,BTN,Bhutan,AUS,Australia,904
2011,AFG,Afghanistan,CAN,Canada,316
2011,SYR,Syrian Arab Rep.,NOR,Norway,1
2011,MMR,Myanmar,CAN,Canada,114
2011,ERI,Eritrea,CAN,Canada,134
2011,SYR,Syrian Arab Rep.,CHE,Switzerland,36
2011,IRQ,Iraq,DNK,Denmark,6
2011,IRN,Iran (Islamic Rep. of),SWE,Sweden,48
2011,SYR,Syrian Arab Rep.,SWE,Sweden,14
2011,SDN,Sudan,AUS,Australia,61
2011,ERI,Eritrea,GBR,United Kingdom of Great Britain and Northern Ireland,2
2011,SOM,Somalia,NZL,New Zealand,2
2011,COD,Dem. Rep. of the Congo,NOR,Norway,59
2011,IRQ,Iraq,NOR,Norway,12
2011,BTN,Bhutan,DNK,Denmark,133
2011,AFG,Afghanistan,SWE,Sweden,415
2011,IRN,Iran (Islamic Rep. of),AUS,Australia,260
2011,ERI,Eritrea,FIN,Finland,16
2011,SYR,Syrian Arab Rep.,NLD,Netherlands,1
2011,ERI,Eritrea,ESP,Spain,11
2011,SDN,Sudan,NLD,Netherlands,7
2011,SYR,Syrian Arab Rep.,DNK,Denmark,1
2011,SDN,Sudan,NOR,Norway,103
2011,SDN,Sudan,ESP,Spain,40
2011,IRN,Iran (Islamic Rep. of),NLD,Netherlands,21
2011,IRQ,Iraq,USA,United States of America,15493
2011,IRQ,Iraq,NLD,Netherlands,110
2011,BTN,Bhutan,GBR,United Kingdom of Great Britain and Northern Ireland,180
2011,AFG,Afghanistan,DNK,Denmark,1
2011,IRQ,Iraq,AUS,Australia,1154
2011,IRQ,Iraq,CAN,Canada,2860
2011,SYR,Syrian Arab Rep.,FRA,France,1
2011,IRQ,Iraq,CHE,Switzerland,38
2011,SOM,Somalia,AUS,Australia,727
2011,SOM,Somalia,FRA,France,83
2011,ERI,Eritrea,NOR,Norway,457
2011,SDN,Sudan,FIN,Finland,18
2011,SDN,Sudan,IRL,Ireland,26
2011,MMR,Myanmar,USA,United States of America,18475
2011,SOM,Somalia,USA,United States of America,13087
