County,Providers
Barrow,2
Bibb,5
Bryan,1
Burke,1
Butts,1
Camden,1
Chatham,5
Chattahoochee,2
Cherokee,3
Clarke,5
Clay,1
Clayton,2
Cobb,20
Columbia,5
county,1
Coweta,5
DeKalb,31
Dougherty,7
Effingham,1
Fannin,2
Fayette,5
Floyd,4
Forsyth,8
Franklin,1
Fulton,38
Gordon,1
Gwinnett,21
Habersham,1
Hall,5
Henry,6
Houston,7
Jenkins,1
Laurens,1
Liberty,1
Lowndes,3
Lumpkin,2
Muscogee,5
Paulding,1
Pierce,1
Putnam,1
Richmond,2
Rockdale,2
Spalding,2
Stephens,1
Thomas,1
Tift,2
Towns,1
Union,1
Walton,1
Wayne,1
Whitfield,1
