year,origin,destination,submissions
2011,Afghanistan,UK,9
2011,Myanmar,Canada,114
2011,Eritrea,Canada,134
2011,Syrian Arab Rep.,Switzerland,36
2011,Iran (Islamic Rep. of),Sweden,48
2011,Dem. Rep. of the Congo,Belgium,3
2011,Iran (Islamic Rep. of),UK,6
2011,Sudan,Sweden,54
2011,Bhutan,USA,10403
2011,Afghanistan,New Zealand,7
2011,Dem. Rep. of the Congo,France,15
2011,Iran (Islamic Rep. of),Germany,17
2011,Iraq,Ireland,6
2011,Afghanistan,Canada,316
2011,Dem. Rep. of the Congo,Finland,160
2011,Iran (Islamic Rep. of),Australia,260
2011,Eritrea,Finland,16
2011,Syrian Arab Rep.,Netherlands,1
2011,Sudan,Netherlands,7
2011,Eritrea,Portugal,25
2011,Syrian Arab Rep.,Sweden,14
2011,Sudan,Australia,61
2011,Bhutan,Canada,1105
2011,Somalia,New Zealand,2
2011,Dem. Rep. of the Congo,Norway,59
2011,Iran (Islamic Rep. of),Belgium,3
2011,Iraq,Norway,12
2011,Afghanistan,Sweden,415
2011,Afghanistan,Denmark,1
2011,Iraq,Denmark,6
2011,Iraq,Australia,1154
2011,Iraq,Canada,2860
2011,Syrian Arab Rep.,France,1
2011,Somalia,Australia,727
2011,Eritrea,Belgium,14
2011,Syrian Arab Rep.,Denmark,1
2011,Sudan,Norway,103
2011,Bhutan,Australia,904
2011,Iran (Islamic Rep. of),Netherlands,21
2011,Iraq,USA,15493
2011,Syrian Arab Rep.,Norway,1
2011,Iraq,Netherlands,110
2011,Afghanistan,France,38
2011,Eritrea,Spain,11
2011,Afghanistan,Norway,284
2011,Iraq,Sweden,40
2011,Myanmar,Norway,184
2011,Somalia,France,83
2011,Eritrea,UK,2
2011,Eritrea,Norway,457
2011,Sudan,Finland,18
2011,Bhutan,Denmark,133
2011,Myanmar,USA,18475
2011,Somalia,USA,13087
2011,Syrian Arab Rep.,USA,57
2011,Dem. Rep. of the Congo,Canada,81
2011,Syrian Arab Rep.,Canada,13
2011,Somalia,Netherlands,13
2011,Iraq,Switzerland,38
2011,Afghanistan,Finland,344
2011,Somalia,Canada,423
2011,Myanmar,Denmark,178
2011,Somalia,Denmark,26
2011,Sudan,Spain,40
2011,Eritrea,France,3
2011,Sudan,Denmark,11
2011,Bhutan,UK,180
2011,Afghanistan,Netherlands,10
2011,Eritrea,USA,1549
2011,Dem. Rep. of the Congo,Netherlands,28
2011,Sudan,New Zealand,6
2011,Syrian Arab Rep.,Australia,1
2011,Iraq,Finland,10
2011,Somalia,Sweden,687
2011,Myanmar,New Zealand,351
2011,Somalia,Norway,305
2011,Iran (Islamic Rep. of),Canada,560
2011,Sudan,Ireland,26
2011,Eritrea,Denmark,51
2011,Sudan,Canada,15
2011,Bhutan,Netherlands,101
2011,Afghanistan,Australia,790
2011,Eritrea,Australia,224
2011,Eritrea,Netherlands,38
2011,Sudan,UK,2
2011,Myanmar,Finland,141
2011,Iran (Islamic Rep. of),France,22
2011,Somalia,Finland,7
2011,Myanmar,Sweden,50
2011,Dem. Rep. of the Congo,UK,34
2011,Dem. Rep. of the Congo,USA,2918
2011,Sudan,Portugal,3
2011,Iraq,New Zealand,214
2011,Iran (Islamic Rep. of),USA,1301
2011,Bhutan,Norway,181
2011,Myanmar,Australia,1623
2011,Bhutan,New Zealand,88
2011,Myanmar,Netherlands,143
2011,Eritrea,Sweden,392
2011,Somalia,UK,359
2011,Iraq,France,9
2011,Myanmar,Japan,31
2011,Iran (Islamic Rep. of),Denmark,3
2011,Sudan,USA,2171
2011,Dem. Rep. of the Congo,Denmark,170
2011,Dem. Rep. of the Congo,Australia,542
2011,Dem. Rep. of the Congo,Sweden,69
2011,Iran (Islamic Rep. of),Norway,255
2011,Iraq,UK,42
2011,Afghanistan,USA,827
2012,Somalia,Australia,38
2012,Eritrea,Germany,55
2012,Eritrea,Canada,198
2012,Iran (Islamic Rep. of),Ireland,5
2012,Afghanistan,Canada,449
2012,Bhutan,New Zealand,60
2012,Iran (Islamic Rep. of),Sweden,21
2012,Iran (Islamic Rep. of),Germany,12
2012,Iraq,USA,6392
2012,Dem. Rep. of the Congo,Norway,54
2012,Iraq,Sweden,26
2012,Syrian Arab Rep.,Australia,2
2012,Myanmar,Canada,219
2012,Somalia,Sweden,535
2012,Myanmar,Norway,181
2012,Sudan,USA,1943
2012,Myanmar,Denmark,122
2012,Dem. Rep. of the Congo,Australia,437
2012,Eritrea,Switzerland,1
2012,Eritrea,Sweden,293
2012,Iran (Islamic Rep. of),Finland,120
2012,Afghanistan,USA,838
2012,Bhutan,Norway,19
2012,Afghanistan,Sweden,484
2012,Iran (Islamic Rep. of),UK,4
2012,Iraq,Canada,582
2012,Somalia,Netherlands,7
2012,Myanmar,New Zealand,222
2012,Dem. Rep. of the Congo,UK,318
2012,Afghanistan,New Zealand,38
2012,Sudan,UK,96
2012,Myanmar,Czechia,63
2012,Eritrea,Norway,62
2012,Iraq,Germany,160
2012,Eritrea,Australia,325
2012,Iran (Islamic Rep. of),France,7
2012,Afghanistan,Netherlands,51
2012,Somalia,Ireland,2
2012,Myanmar,Sweden,1
2012,Iran (Islamic Rep. of),Portugal,2
2012,Iraq,Denmark,6
2012,Sudan,Netherlands,10
2012,Somalia,Denmark,70
2012,Dem. Rep. of the Congo,Ireland,20
2012,Iran (Islamic Rep. of),Australia,319
2012,Sudan,Australia,146
2012,Dem. Rep. of the Congo,Portugal,1
2012,Somalia,Norway,289
2012,Somalia,Germany,62
2012,Eritrea,New Zealand,14
2012,Syrian Arab Rep.,Norway,3
2012,Dem. Rep. of the Congo,USA,4198
2012,Afghanistan,Denmark,2
2012,Afghanistan,Australia,2230
2012,Iraq,France,1
2012,Iraq,Norway,18
2012,Iran (Islamic Rep. of),Netherlands,11
2012,Sudan,Canada,43
2012,Myanmar,Finland,155
2012,Iran (Islamic Rep. of),Canada,526
2012,Iran (Islamic Rep. of),New Zealand,9
2012,Iran (Islamic Rep. of),Norway,387
2012,Iraq,Australia,3275
2012,Sudan,New Zealand,117
2012,Bhutan,Canada,575
2012,Somalia,Finland,64
2012,Sudan,Germany,93
2012,Eritrea,Finland,45
2012,Eritrea,Italy,7
2012,Iran (Islamic Rep. of),USA,1453
2012,Sudan,France,1
2012,Myanmar,USA,19075
2012,Iran (Islamic Rep. of),Hungary,1
2012,Iraq,New Zealand,61
2012,Iraq,Netherlands,115
2012,Eritrea,Netherlands,39
2012,Myanmar,Netherlands,60
2012,Dem. Rep. of the Congo,Canada,1154
2012,Afghanistan,Finland,314
