year,origin,destination,total
2011,Afghanistan,Finland,101
2011,Myanmar,Denmark,149
2011,Iran (Islamic Rep. of),Germany,22
2011,Somalia,Norway,182
2011,Iraq,UK,86
2011,Iraq,Sweden,57
2011,Bhutan,Netherlands,96
2011,Dem. Rep. of the Congo,Canada,185
2011,Somalia,UK,70
2011,Sudan,Finland,7
2011,Myanmar,Netherlands,75
2011,Afghanistan,New Zealand,6
2011,Dem. Rep. of the Congo,Sweden,78
2011,Myanmar,New Zealand,220
2011,Iran (Islamic Rep. of),Belgium,1
2011,Iran (Islamic Rep. of),France,1
2011,Iraq,New Zealand,5
2011,Iraq,Australia,1411
2011,Bhutan,New Zealand,92
2011,Sudan,Canada,37
2011,Somalia,New Zealand,6
2011,Dem. Rep. of the Congo,Belgium,1
2011,Sudan,Australia,10
2011,Myanmar,Japan,18
2011,Myanmar,Ireland,1
2011,Iraq,Netherlands,74
2011,Eritrea,USA,1629
2011,Myanmar,Sweden,28
2011,Iran (Islamic Rep. of),Finland,2
2011,Dem. Rep. of the Congo,Australia,428
2011,Iraq,Switzerland,30
2011,Somalia,USA,3082
2011,Afghanistan,Netherlands,8
2011,Myanmar,USA,15211
2011,Sudan,New Zealand,5
2011,Eritrea,Portugal,23
2011,Afghanistan,USA,250
2011,Afghanistan,Canada,214
2011,Somalia,Finland,2
2011,Iran (Islamic Rep. of),Denmark,1
2011,Eritrea,Australia,59
2011,Myanmar,UK,6
2011,Iraq,Norway,1
2011,Iran (Islamic Rep. of),Canada,414
2011,Syrian Arab Rep.,USA,13
2011,Somalia,Canada,543
2011,Sudan,France,1
2011,Myanmar,Australia,1592
2011,Syrian Arab Rep.,Sweden,7
2011,Eritrea,Denmark,27
2011,Afghanistan,Sweden,111
2011,Somalia,Netherlands,1
2011,Iran (Islamic Rep. of),Netherlands,14
2011,Eritrea,Sweden,526
2011,Bhutan,USA,14694
2011,Dem. Rep. of the Congo,New Zealand,2
2011,Iran (Islamic Rep. of),Sweden,30
2011,Dem. Rep. of the Congo,Denmark,95
2011,Somalia,Sweden,538
2011,Dem. Rep. of the Congo,Finland,64
2011,Myanmar,Canada,298
2011,Syrian Arab Rep.,Netherlands,1
2011,Eritrea,Finland,9
2011,Syrian Arab Rep.,Canada,7
2011,Eritrea,Belgium,14
2011,Iran (Islamic Rep. of),USA,1050
2011,Eritrea,Norway,417
2011,Eritrea,Canada,76
2011,Bhutan,Canada,1873
2011,Afghanistan,France,1
2011,Sudan,Netherlands,4
2011,Dem. Rep. of the Congo,Netherlands,22
2011,Sudan,USA,322
2011,Dem. Rep. of the Congo,UK,115
2011,Afghanistan,Australia,351
2011,Dem. Rep. of the Congo,France,14
2011,Sudan,Ireland,23
2011,Dem. Rep. of the Congo,Norway,38
2011,Iraq,Finland,184
2011,Iraq,USA,4628
2011,Bhutan,Australia,1026
2011,Somalia,France,2
2011,Somalia,Australia,203
2011,Eritrea,Netherlands,55
2011,Sudan,Sweden,88
2011,Iraq,Portugal,5
2011,Iran (Islamic Rep. of),Australia,228
2011,Myanmar,Norway,155
2011,Iran (Islamic Rep. of),Norway,147
2011,Dem. Rep. of the Congo,USA,990
2011,Iraq,Ireland,6
2011,Iraq,Canada,2190
2011,Bhutan,Denmark,287
2011,Somalia,Denmark,7
2011,Eritrea,UK,1
2011,Sudan,Norway,50
2011,Myanmar,Finland,146
2011,Afghanistan,Norway,164
2012,Bhutan,New Zealand,120
2012,Dem. Rep. of the Congo,Australia,271
2012,Iran (Islamic Rep. of),Ireland,5
2012,Iraq,Netherlands,64
2012,Sudan,UK,89
2012,Somalia,Portugal,1
2012,Iran (Islamic Rep. of),Sweden,25
2012,Iran (Islamic Rep. of),Norway,130
2012,Dem. Rep. of the Congo,Netherlands,22
2012,Somalia,New Zealand,2
2012,Afghanistan,USA,461
2012,Afghanistan,Portugal,1
2012,Iran (Islamic Rep. of),Australia,180
2012,Eritrea,UK,9
2012,Bhutan,Norway,172
2012,Syrian Arab Rep.,Sweden,59
2012,Eritrea,Denmark,10
2012,Iraq,France,4
2012,Sudan,Australia,38
