provider_id,name,phone,email,city,state,zip,website,interpreter,payment,over22,source,s_evaluation.autism_eval,s_evaluation.eval_dev_pediatricians,s_evaluation.psychiatrist,s_evaluation.psychologist,s_evaluation.spec_centers,s_therapies_interventions.aba,s_therapies_interventions.speech_language,s_therapies_interventions.occupational_therapy,s_therapies_interventions.physical_therapy,s_therapies_interventions.hippotherapy,s_therapies_interventions.social_skills_training,s_parent_family_supports.support_parent,s_parent_family_supports.support_grandparent,s_parent_family_supports.parent_education,s_campus_caregivers.respite_care,s_health_care.medicaid_waiver,lon,lat,address,a_payment.private_insurance,a_payment.assistance,a_payment.medicaid,disabilities,ages,county,fax,transit_access,hours,wheelchair_access,s_adaptations_accessibility.accomodations_modifications,s_adaptations_accessibility.adaptive_equipment,s_adaptations_accessibility.assistive_technology,s_adaptations_accessibility.augmentative_communication,s_adaptations_accessibility.service_animals,s_adult.day_services,s_adult.personal_care_assistance,s_adult.residential_facility,s_adult.supported_employment,s_adult.supported_independent_living,s_adult.job_training,s_advocacy.advocate_disability,s_advocacy.advocate_education,s_advocacy.advocate_healthcare,s_advocacy.attorney,s_advocacy.attorney_wills_trusts,s_advocacy.mediation,s_advocacy.resources_ada,s_advocacy.resources_advocate_education,s_advocacy.resources_idea,s_campus_caregivers.camp_day,s_campus_caregivers.camp_adults,s_campus_caregivers.camp_overnight,s_campus_caregivers.caregivers_adult,s_campus_caregivers.caregivers_after_school,s_campus_caregivers.caregivers_child,s_campus_caregivers.community_caregiving,s_campus_caregivers.financial_assistance,s_community_resources.community_programs,s_community_resources.disability_org,s_community_resources.family_connections,s_community_resources.housing_assistance,s_community_resources.libraries,s_community_resources.professional_associations,s_community_resources.recreation,s_community_resources.dbhdd_office,s_community_resources.religious_program,s_community_resources.research_projects,s_early_childhood.bcw_offices,s_early_childhood.child_care,s_early_childhood.high_risk_infant_assessment,s_early_childhood.preschool_private,s_early_childhood.preschool_public,s_early_childhood.preschool_specialized,s_education.education_consultants,s_education.financial_assistance,s_education.home_schooling,s_education.inclusive_services,s_education.post_secondary_ed,s_education.day_private,s_education.residential_private,s_education.charter_public,s_education.special_ed_oversight,s_education.transition_services,s_education.tutoring,s_health_care.cms,s_health_care.dev_pediatricians,s_health_care.diet_nutrition,s_health_care.gapp_providers,s_health_care.home_healthcare,s_health_care.mental_health,s_health_care.nursing_services,s_health_care.psychiatrist,s_health_care.psychologists_child,s_health_care.public_health,s_health_care.rehabilitation_centers,s_mental_health_behavior.behavior_specialist,s_mental_health_behavior.bullying,s_mental_health_behavior.child_abuse,s_mental_health_behavior.mental_health,s_mental_health_behavior.psychiatrist,s_mental_health_behavior.psychologist,s_mental_health_behavior.sexual_abuse,s_mental_health_behavior.suicide_support,s_parent_family_supports.adoption,s_parent_family_supports.case_management,s_parent_family_supports.crisis,s_parent_family_supports.family_support,s_parent_family_supports.foster_care,s_parent_family_supports.personal_care,s_parent_family_supports.play_groups,s_parent_family_supports.residential_childrens,s_parent_family_supports.social_work,s_parent_family_supports.support_group,s_parent_family_supports.support_bereavement,s_parent_family_supports.support_peer,s_parent_family_supports.support_sibling,s_planning_for_the_future.financial_planning,s_planning_for_the_future.guardianship,s_planning_for_the_future.person_centered_planning,s_planning_for_the_future.trust_will_prep,s_therapies_interventions.alternative_therapies,s_therapies_interventions.aquatic_therapy,s_therapies_interventions.art_therapy,s_therapies_interventions.counseling,s_therapies_interventions.developmental_eval_assessment,s_therapies_interventions.feeding_therapy,s_therapies_interventions.floor_therapy,s_therapies_interventions.massage_therapy,s_therapies_interventions.music_therapy,s_therapies_interventions.pet_therapy,s_therapies_interventions.play_therapy,s_therapies_interventions.sensory_integration,s_therapies_interventions.sign_language,s_therapies_interventions.special_instruction,s_therapies_interventions.vision_therapy,a_payment.peachcare,a_payment.tricare,s_gaac_clinic,s_bcw_offices
525,A.t.l. Psychotherapy & Consulting Services,404-941-7326,atlinfo@atlpsychology.com,Atlanta,GA,30331,www.atlpsychology.com/,English,Call for Fee;N/A,Yes,www.autismspeaks.org,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-84.5797758,33.7001487,"5835 campbellton rd sw ste 102, atlanta, ga 30331, usa",0,0,0,Autism Spectrum Disorder,22+ Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Able Pediatrics,706-842-5331,Kelly.vann@ablepediatrics.com,Augusta,GA,30907,www.ablepediatrics.com,English;Spanish,N/A;Medicaid;Private Insurance,No,www.autismspeaks.org,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-82.0819289,33.5096668,"3727 executive center dr, martinez, ga 30907, usa",1,0,1,Autism Spectrum Disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Apollo Behavior,404-941-6201,info@apollobehavior.com,Suwanee,GA,30024,www.apollobehavior.com/,English,Call for Fee;Medicaid;Private Insurance,No,www.autismspeaks.org,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-84.1608249,34.0715736,"5050 research ct, suwanee, ga 30024, usa",1,0,1,Autism Spectrum Disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Atlanta Autism Center,833-628-8476,info@atlantaautismcenter.com,Peachtree Corners,GA,30092,atlantaautismcenter.com,English,Call for Fee;N/A,No,www.autismspeaks.org,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,-84.2595273,33.9667722,"6450 spalding dr suite b, norcross, ga 30092, usa",0,0,0,Autism Spectrum Disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Atlanta Autism Center,833-628-8476,info@atlantaautismcenter.com,Alpharetta,GA,30004,atlantaautismcenter.com,English,Call for Fee;N/A,No,www.autismspeaks.org,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,-84.2324487,34.1162573,"1356 bluegrass lakes pkwy, alpharetta, ga 30004, usa",0,0,0,Autism Spectrum Disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Atlanta Autism Center,833-628-8476,info@atlantaautismcenter.com,Lawrenceville,GA,30043,atlantaautismcenter.com,English,Call for Fee;N/A,No,www.autismspeaks.org,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,-83.9647935,33.9844503,"833 hurricane shoals rd ne, lawrenceville, ga 30043, usa",0,0,0,Autism Spectrum Disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Atlanta Children's Center For Developmental And Behavioral Health,404-618-0505,info@atlantachildrenscenter.com,Atlanta,GA,30324,www.atlantachildrenscenter.com,English,No Cost;No Insurance Accepted,No,www.autismspeaks.org,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-84.344219,33.8290403,"children's center, 2751 buford hwy ne suite 207, atlanta, ga 30324, usa",0,1,0,Autism Spectrum Disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Atlanta Psychological Services,770-457-5577,,Atlanta,GA,30341,www.atlantapsychological.com,English,Call for Fee;N/A,Yes,www.autismspeaks.org,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-84.2917292,33.9169245,"2308 perimeter park dr # 100, atlanta, ga 30341, usa",0,0,0,Autism Spectrum Disorder,22+ Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Autism Assessment Services - Adult And Children,404-862-8106,drlisakorey@northmetropsych.com,Marietta,GA,30064,www.northmetropsych.com,English;Russian,Call for Fee;Medicaid;Private Insurance;No Insurance Accepted,Yes,www.autismspeaks.org,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-84.5531766,33.9409762,"540 powder springs st suite e-31, marietta, ga 30064, usa",1,0,1,Autism Spectrum Disorder,22+ Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Autism Center For Children,678-996-4998,info@autismcenterga.com,Woodstock,GA,30189,www.autismcenterga.com,English;Spanish,Call for Fee;Medicaid;Private Insurance,No,www.autismspeaks.org,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-84.5521816,34.1110182,"2230 towne lake pkwy #500, woodstock, ga 30189, usa",1,0,1,Autism Spectrum Disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
